28395 28095 37929 79517 102277
mention 4 0 6 6 1
steep 4 0 6 0 2
fashion 0 0 0 2 1
werner 0 0 0 1 3
thu 3 2 12 3 3
ltmtml 0 0 0 0 2
indianapoli 0 1 0 2 0
tag 0 0 0 2 1
lthwta 0 0 0 2 0
attent 3 3 9 3 3
proce 1 0 1 45 27
52922 0 0 0 0 2
auster 3 0 0 0 0
notel 0 0 0 0 3
pak 0 0 0 4 1
predecessor 0 0 1 1 2
concert 1 0 17 5 0
10500000 0 0 0 0 2
ltnsm 0 0 0 1 1
pressur 15 10 50 13 14
said 314 347 442 1460 785
ltvar 0 0 0 2 0
2317000 0 0 0 0 2
notabl 2 4 1 1 3
norcro 0 0 0 4 0
139000 0 0 0 0 2
plateau 1 1 0 0 1
australia 6 14 0 24 13
441000 0 0 0 0 3
rada 0 0 0 1 1
laroch 0 0 0 3 0
hr 1 3 0 1 0
oblig 5 4 6 17 14
254 1 1 1 1 7
5695000 0 0 0 1 1
iri 0 2 0 1 1
minneapolisbas 0 0 0 1 1
16 16 17 16 51 167
84000 0 1 0 0 3
4466006 0 0 0 0 2
diamet 1 0 0 0 1
2157 0 0 0 1 1
1924000 0 0 0 0 3
barley 0 50 0 0 0
santand 0 0 0 2 0
area 42 54 4 36 34
perelman 0 0 0 1 1
wei 0 2 0 0 1
wors 1 2 3 2 2
aspect 2 2 2 5 1
1520 0 0 3 0 3
1979 4 3 1 2 3
unwelcom 0 0 0 3 0
1332 0 0 0 0 3
1875000 0 0 0 0 2
drain 1 1 30 0 2
catch 0 2 0 0 0
halv 0 1 0 2 2
gruppo 0 0 0 2 0
879 0 0 0 1 1
ltscti 0 0 0 0 2
legal 2 7 4 31 13
164000 0 0 1 1 5
preempt 0 1 0 1 0
ltash 0 0 0 1 1
1643 0 1 0 1 2
castl 0 0 0 2 2
journal 1 0 0 3 1
wick 0 0 0 3 3
nabisco 0 0 0 2 0
lttcbi 0 0 0 0 2
swire 0 0 0 0 7
labor 3 1 1 7 7
cafeteria 0 0 0 1 1
683 0 0 0 0 4
ltglw 0 0 0 3 0
quak 9 0 0 0 0
treat 0 1 0 4 5
monfort 0 0 0 2 2
1940 1 0 0 2 0
vice 9 7 9 38 19
imprison 0 0 0 2 0
3799000 0 0 0 0 2
2425 0 1 0 1 0
pass 1 12 8 5 3
749 0 0 0 1 3
fcc 0 0 0 4 2
119000 0 0 0 0 5
questar 0 0 0 2 0
precis 0 2 6 6 5
devon 1 0 0 0 1
452000 0 0 0 0 4
phil 0 1 1 2 0
642 0 0 0 0 2
birthday 0 0 2 0 0
55 4 5 4 23 69
awb 0 4 0 0 0
355000 0 0 0 0 2
hock 0 0 0 1 1
jim 2 3 1 3 4
680 1 2 0 1 3
search 11 1 1 2 1
6195000 0 0 0 0 2
villag 1 3 0 0 0
159 1 4 1 2 26
educ 1 1 2 3 3
ipco 0 0 0 0 2
rang 9 24 51 53 29
551000 0 0 0 1 1
lf 1 0 0 3 1
yr 0 0 0 0 35
cell 0 0 0 3 2
20year 2 0 0 0 0
multimillion 0 0 0 2 0
everywher 1 0 0 0 1
paralys 1 2 0 0 0
sosnoff 0 0 0 16 1
415000 0 0 0 0 2
overst 0 2 1 0 0
4967 0 0 0 0 2
3701 0 0 0 0 2
kaunda 0 0 4 0 0
605 0 0 2 1 1
dozen 4 0 0 2 1
teck 0 0 0 3 0
1223 0 0 0 0 2
aquino 0 0 0 5 0
sudan 0 3 1 0 0
ambassador 7 0 2 1 0
expir 2 8 9 75 5
enercon 0 0 0 2 0
ltgenova 0 0 0 2 0
kloeckner 0 0 0 0 2
centel 0 0 0 1 2
aug 0 0 0 0 6
chrysler 0 0 0 21 6
miller 3 5 0 2 4
380 1 0 8 3 8
ltwww 0 0 0 1 1
boundari 0 2 1 0 0
114000 0 0 0 1 2
ltuna 0 0 0 0 4
4272 0 0 0 0 3
prepar 11 9 17 20 11
slim 0 0 5 1 0
commun 7 38 15 60 43
ltnhmo 0 0 0 1 1
neco 0 0 0 3 0
512 0 2 5 3 5
372p 0 0 0 1 1
cf 0 0 0 1 1
citicorp 0 0 0 15 4
withheld 1 1 0 4 1
brake 1 0 3 0 0
810 0 0 0 1 3
177 0 0 0 0 15
sheikh 8 0 0 0 0
empti 0 4 0 0 1
418 0 0 1 2 4
florenc 0 0 0 2 0
export 74 183 53 7 17
lteaf 0 0 0 5 0
dc 0 0 0 2 0
25dlrpershar 0 0 0 2 0
60day 0 0 2 0 0
thing 2 8 11 20 5
vs 0 7 0 0 1990
ltelmd 0 0 0 0 2
163p 0 0 0 0 2
nichol 0 0 0 2 1
daf 0 0 0 2 0
asea 0 0 0 1 1
4014000 0 0 0 0 2
1008 0 0 0 1 1
dilut 0 0 0 23 54
agroindustri 0 0 0 2 0
shipyard 0 0 0 0 2
149000 0 2 0 0 0
intensifi 2 2 2 0 1
relationship 2 2 4 4 1
5400000 0 0 0 2 2
interestfre 0 0 1 0 1
lieu 0 1 0 1 2
platform 6 0 0 1 0
queen 0 0 0 0 2
subject 4 7 11 170 42
624 0 0 0 1 2
275p 0 0 0 1 2
ltemh 0 0 0 0 2
everi 6 6 4 14 17
1024 0 0 0 0 2
highperform 0 0 0 1 1
strategist 0 0 1 0 1
751 1 0 1 0 0
reagan 22 28 13 5 0
489 0 0 0 0 4
remind 0 2 3 1 0
1054000 0 0 0 0 3
1977 2 0 0 1 2
tseng 0 0 0 0 2
matheson 0 0 0 0 4
96 0 3 1 15 23
ltvet 0 0 0 0 2
lttractebel 0 0 0 1 1
juli 6 23 4 22 50
tranch 0 1 0 0 1
manila 0 0 0 4 0
imbal 0 2 22 1 1
deterr 0 0 1 0 1
murphi 3 0 0 0 1
247 0 0 0 1 9
ltwlwa 0 0 0 0 2
decad 4 3 4 1 4
modulair 0 0 0 2 1
melros 0 0 0 2 0
snack 0 0 0 0 2
mcdermott 1 0 0 2 0
1635 1 0 1 0 0
suiss 0 0 0 1 1
refrain 2 0 9 0 0
gerai 0 0 0 2 0
forum 2 1 6 2 0
dispos 4 0 0 11 37
oppos 8 13 3 28 1
3478 1 0 0 1 1
finnish 2 0 0 0 0
lockup 0 0 0 3 0
bueno 0 8 0 0 0
reluct 6 4 7 0 0
6030 0 1 0 0 3
647 0 1 0 0 3
1970 6 2 3 2 2
chairman 16 16 26 162 103
profil 0 1 2 1 2
cross 2 1 5 16 2
iron 0 1 1 4 2
625000 0 0 0 0 3
ltffbv 0 0 0 1 1
amortis 0 0 0 0 2
30500 0 1 0 0 1
ltnarr 0 0 0 4 0
311 1 2 0 0 8
elizabeth 0 0 0 2 0
1986 59 63 40 176 843
816 4 4 0 0 0
comfort 0 0 3 3 4
corridor 0 1 1 0 0
327000 0 0 0 1 2
255000 0 0 0 0 2
koether 0 0 0 2 0
angel 0 0 0 27 3
225 3 4 0 7 18
mint 0 0 2 0 0
3112 0 0 0 2 0
serv 2 5 5 29 4
jefferi 0 0 0 5 1
ltmnrci 0 0 0 0 3
5023 0 0 0 0 3
anchor 1 0 1 0 2
fujitsu 0 0 0 14 0
industrial 0 0 0 1 1
254000 0 0 1 0 2
rainier 0 0 0 3 0
chaco 0 3 0 0 0
oak 0 0 0 6 6
13year 2 0 0 0 0
warmer 2 1 0 0 0
2021000 0 0 0 0 2
debit 0 0 0 0 21
2039 0 0 0 0 2
laid 2 0 0 0 2
shortdat 0 0 2 0 0
knox 0 0 0 0 2
222 0 1 1 1 12
706 0 0 0 0 3
2598000 0 0 0 0 3
southam 0 0 0 2 0
anyth 6 2 12 1 2
7535 0 0 0 0 2
corel 0 0 2 0 0
saleabl 0 0 0 2 0
photo 0 0 0 1 2
railroad 2 2 0 12 3
egg 0 2 2 1 3
explain 5 2 9 10 6
2918 0 0 0 0 2
oversuppli 0 0 1 0 1
218 0 1 0 2 7
bia 0 1 1 0 0
plane 5 1 0 2 5
904000 0 0 0 0 2
2247 0 0 0 0 2
40year 0 0 3 0 0
ltcawll 0 0 0 10 1
interc 0 0 0 0 2
trustco 0 0 0 0 6
612000 0 1 0 0 2
seoul 1 0 1 0 1
retaliatori 0 2 0 1 0
favour 9 7 17 8 1
balk 0 0 0 2 0
printer 0 0 0 3 2
italian 3 2 5 13 2
259948 0 0 0 0 2
3160 0 0 0 1 1
712 0 0 3 1 9
writer 1 0 0 0 1
821 0 1 0 0 4
infer 0 0 3 0 0
senat 4 22 14 6 0
multiyear 0 2 0 1 0
reimburs 0 2 0 5 1
sheehi 0 0 0 0 2
shield 1 0 0 4 5
243 1 0 1 0 13
4429 0 0 0 0 2
unjustifi 0 2 0 0 0
2252246 0 0 0 0 2
resal 0 0 10 2 0
221 0 1 0 1 12
rowntre 0 0 0 0 2
warehous 0 2 0 1 4
ltwii 0 0 0 0 2
5200000 0 0 0 0 3
ltessfpa 1 0 0 0 1
bay 6 0 0 5 4
2654 0 0 0 0 2
530000 0 1 0 1 3
oii 0 0 0 2 0
national 1 1 0 4 2
interrupt 0 2 0 1 1
amc 0 0 0 14 2
weekli 15 19 14 5 1
1797585 0 0 2 0 0
conduct 5 3 12 6 10
4118 0 0 0 1 2
baseless 4 0 0 0 0
usair 0 0 0 42 1
lttecd 0 0 0 0 2
940000 1 0 0 1 1
canon 0 0 0 0 2
magazin 0 0 1 5 2
trough 0 0 2 0 0
247970 0 0 0 0 2
maison 0 0 1 1 0
mediterrane 0 0 0 0 2
35000 6 5 1 4 7
chirac 0 1 1 1 0
journalist 0 1 5 2 4
braverman 0 0 2 0 0
assess 3 7 6 5 3
288 0 1 1 1 8
1248000 0 0 0 0 2
20000 2 8 0 1 3
700p 0 0 0 3 0
valtek 0 0 0 1 1
080 1 0 0 0 1
autonom 0 0 3 1 0
henri 1 0 2 5 3
mine 17 0 2 49 34
strictli 4 2 0 0 0
theatr 0 0 0 1 1
tian 0 1 1 0 0
708 0 0 0 0 4
drew 1 0 5 0 1
1364 0 0 0 0 2
03 2 2 4 0 2
466000 0 0 0 1 2
anglodutch 0 0 0 0 2
kuhlmann 0 0 0 3 0
ltpshgf 0 0 0 0 2
chile 1 0 0 2 0
fled 1 0 0 1 0
kjell 0 0 0 4 0
320 0 1 1 2 11
ltswf 0 0 0 2 0
ltaci 0 0 0 1 1
parent 1 0 0 24 50
baa2 0 0 0 2 0
2407 0 0 0 1 1
ming 0 1 0 1 0
master 0 0 0 2 5
wish 6 1 5 7 1
porsch 0 0 0 0 2
ltbtlr 0 0 0 4 0
heaviest 0 4 0 0 0
6 4 10 7 16 23
thirdparti 0 0 0 0 2
ab 2 0 0 24 12
1900 0 1 2 1 2
ltmab 0 0 0 1 1
171 0 1 2 1 23
sismik 4 0 0 0 0
476 0 1 0 0 2
182000 0 0 0 1 1
3744 0 1 1 0 0
ltdolr 0 0 0 0 2
1101 0 0 0 0 3
mccormack 0 0 0 2 0
rain 2 20 0 0 0
4066 0 0 0 0 2
synergi 0 0 0 4 0
lawmak 1 7 0 0 1
863000 0 0 0 0 3
someth 1 3 8 6 3
tandem 0 0 0 1 1
rupert 0 0 0 1 1
canari 0 2 0 0 0
101 3 4 2 5 36
64 6 5 0 6 50
472000 0 1 0 0 2
ltmne 0 0 0 3 0
flexibl 2 0 11 3 11
tpa 0 0 0 1 1
guin 0 0 0 5 1
bonanza 1 0 0 0 1
dubili 0 0 0 4 0
1356000 0 0 0 0 2
diego 0 0 0 1 1
chemfix 0 0 0 0 2
updat 1 3 0 1 2
temporarili 5 1 3 2 2
contl 0 0 0 0 4
2852198 0 0 0 0 2
dlrsbbl 16 0 0 0 0
mitsotaki 2 0 0 0 0
27000 0 3 0 0 2
842 0 0 0 1 1
professor 0 0 1 2 0
2218 0 0 0 0 2
earner 0 0 0 0 3
mueller 0 0 2 1 0
226 1 1 1 0 14
sixmemb 1 0 0 1 0
sugarcontain 0 2 0 0 0
reexamin 0 3 0 0 0
rocki 0 0 0 1 4
lag 2 1 2 1 1
farmer 4 76 0 3 2
tough 3 2 0 2 1
lull 4 0 1 0 0
10year 1 3 3 2 0
input 0 1 0 1 0
amvestor 0 0 0 0 2
psa 0 0 0 3 0
715000 0 0 0 0 2
4885000 0 0 0 0 2
276000 0 0 0 0 2
941 0 0 0 0 3
solv 0 1 4 2 0
carl 1 0 0 20 1
18243 0 0 2 0 0
662 1 1 0 0 8
nearrecord 0 2 0 0 0
iea 4 0 0 0 0
unsatisfactori 0 1 2 0 5
syrup55 0 2 0 0 0
dvfa 0 0 0 0 2
eager 0 1 1 5 1
6234 1 1 0 0 0
relax 1 1 3 0 1
capel 0 0 1 5 4
shall 0 1 0 5 0
texstyren 0 0 0 1 2
happi 0 0 6 2 0
644 1 0 0 0 4
941000 0 0 0 0 3
1130000 0 0 0 0 2
pharmacia 0 0 0 0 2
georgiapacif 0 0 0 0 2
surplus 0 6 11 0 0
ltendo 0 0 0 0 3
ltmorgan 0 0 1 2 3
amex 0 0 0 2 0
lttpo 0 0 0 1 1
broader 1 2 3 4 0
lui 1 3 0 0 0
glantz 0 0 0 2 0
lteldr 0 0 0 1 1
3044 0 0 0 0 2
iranian 21 0 0 1 1
trademark 0 0 0 4 1
gurne 0 0 0 2 0
helm 0 1 0 1 2
tinker 0 2 4 0 0
alitalia 0 0 0 0 2
ltsptn 0 0 0 0 2
236 0 1 0 0 7
spinoff 0 0 0 7 5
ltmeridian 0 0 0 2 0
ltcrtr 0 0 0 1 1
repli 9 3 7 8 2
refineri 47 0 0 1 3
chatsworth 0 0 0 2 0
terra 1 0 0 0 1
saito 0 0 2 0 0
lten 0 0 0 1 2
kit 0 0 0 1 2
deb 0 0 0 0 3
1512534 0 0 0 0 3
injunct 1 0 0 13 0
63000 0 0 0 1 5
1894764 0 3 0 0 0
resel 0 0 1 1 1
77000 0 0 0 0 2
yorkarea 0 0 0 2 0
ussoviet 1 2 0 0 0
symbol 1 1 0 3 5
silent 0 0 0 3 0
1639 2 0 0 0 0
947 0 0 0 2 0
ltrmuc 0 0 0 0 2
corn 1 138 0 11 0
alchalabi 3 0 0 0 0
63 1 4 3 11 37
unilater 2 1 5 1 1
reaffirm 3 0 6 5 4
prematur 0 4 1 0 2
7500 1 1 0 1 0
al 2 0 0 0 3
meat 1 4 0 1 1
873 0 0 0 1 4
nord 0 0 0 0 2
copley 0 0 0 0 2
ltjaczz 0 0 0 1 2
durum 0 10 0 0 0
courier 0 0 0 26 1
1284 1 0 0 0 3
schlumberg 1 0 0 11 0
1019 0 0 0 0 2
cabinetlevel 0 3 0 0 0
eat 0 3 1 0 0
1412 0 0 2 0 3
1392 0 0 0 0 4
mesa 1 0 0 2 2
1185 1 0 0 2 1
ltsfx 0 0 0 6 0
4744000 0 0 0 0 2
horizon 0 0 0 4 3
unithold 1 0 0 1 8
286 0 1 0 3 9
decatur 0 2 0 1 0
alltim 1 0 0 0 2
aggreg 1 0 2 16 4
manufactur 4 4 9 91 46
ltgcn 0 0 0 0 4
phlx 0 0 2 0 0
chicken 1 0 0 1 0
wor 0 0 0 6 0
temporari 3 3 38 10 6
setasid 0 4 0 0 1
britain 6 8 54 15 7
1236 0 0 0 0 2
britoil 0 0 0 0 2
198000 0 1 0 0 2
fundament 7 1 36 2 1
617 0 0 0 0 5
659000 0 0 0 0 3
enhanc 7 43 3 12 10
5760 1 0 0 0 1
66 1 2 2 8 33
ltu 0 0 0 29 1
1247000 0 0 0 0 2
2433000 0 0 0 0 2
rminn 0 8 0 0 0
soriano 0 0 0 4 0
807 0 0 0 1 3
england 0 1 116 13 7
arena 0 0 0 4 0
rhetor 0 0 3 0 0
childhood 0 0 1 1 0
wichita 0 0 0 1 1
ltsystem 0 0 0 2 1
ltwmt 0 0 0 0 2
3137 0 0 0 0 2
avg 0 2 0 0 407
634 0 0 1 0 3
coleco 0 0 0 0 2
moo 0 2 0 0 0
sheer 0 1 1 1 0
version 1 2 1 0 4
physician 0 0 0 3 2
lthmsb 0 0 0 0 2
young 0 1 0 4 1
creek 1 0 0 5 0
biltmor 0 0 0 2 0
liberalis 3 3 7 0 1
4941000 0 0 0 0 2
missil 14 0 0 2 0
ltstr 0 0 0 2 0
plead 0 0 0 0 2
lttcb 0 0 0 1 1
importintens 0 0 2 0 0
nowak 1 0 0 0 1
gnp 0 0 5 0 2
west 36 17 84 45 34
quartz 0 0 0 1 1
602 0 0 1 0 2
1st 0 0 0 3 247
767 0 2 0 1 0
grit 0 0 2 0 0
meston 0 0 0 1 1
spokeswoman 6 3 3 15 4
4797 0 1 0 0 1
2986000 0 0 0 0 2
ltdelhi 0 0 0 3 0
ltaxp 0 0 0 11 0
ltgalcf 0 0 0 0 2
rosewood 0 0 0 2 0
nitrogen 0 2 0 0 1
mediumterm 1 0 6 0 1
8937000 0 0 0 0 2
wednesday 6 3 15 10 2
ltbac 0 0 0 5 3
saudia 2 0 0 0 0
frame 0 1 0 1 0
1128 0 0 0 0 3
wine 0 1 0 2 1
713 0 0 2 0 2
2313000 0 0 0 0 2
nearest 0 1 1 0 0
596000 0 0 0 0 2
et 2 0 0 2 1
growth 11 12 59 18 96
gather 4 0 4 4 0
peter 4 3 3 8 5
abn 0 0 1 0 1
siegler 0 0 0 6 0
ltgactz 0 0 0 0 2
967 0 0 0 0 3
consortia 0 0 0 6 0
ltben 0 0 0 1 2
broad 3 3 11 4 5
govt 1 0 0 0 1
396000 0 0 0 0 2
multibillion 0 0 0 1 1
unifi 0 0 2 0 0
superpow 3 0 0 0 0
architectur 0 1 0 1 1
unforeseen 0 0 0 0 2
ltdaewoo 1 0 0 0 1
ltwpla 0 0 0 0 2
protection 0 1 9 1 0
ftc 1 0 0 4 0
514 0 0 2 0 6
ltclg 0 0 0 3 2
52week 1 0 0 2 2
florjanc 0 0 0 0 2
ltcompagni 0 0 0 2 0
favor 6 13 2 18 11
ltfunc 0 0 0 4 0
unexpectedli 1 0 1 0 1
free 13 18 5 10 10
car 0 2 1 15 14
engin 4 1 2 28 34
predict 10 8 15 11 25
1112 0 0 0 0 5
anitec 0 0 0 0 2
currenc 4 12 215 5 27
element 0 1 3 1 2
silicon 0 0 0 2 1
125000 4 3 0 1 2
4307000 0 0 0 0 2
lukman 6 0 0 0 0
maintain 22 14 13 15 27
wareh 0 0 0 1 1
1080 0 0 0 0 2
oppenheim 0 0 0 9 2
440 0 1 0 1 8
220 5 1 1 5 14
853000 0 0 0 0 4
comment 12 17 63 107 25
310000 3 0 0 0 3
798000 0 0 0 0 2
differenti 9 6 7 0 0
forint 0 0 3 0 0
ltglynl 0 0 0 0 2
wti 14 0 0 0 0
2028 0 0 0 0 2
4830 0 0 0 0 2
ltsrl 0 0 0 1 1
654 0 1 0 1 4
goldendal 0 0 0 0 3
4200 0 0 0 2 1
match 4 1 6 7 4
kellogg 0 0 0 2 0
nervous 0 0 3 0 0
aboutfac 0 1 0 1 0
125 2 8 3 24 67
furor 0 0 0 2 0
corpor 12 24 14 62 42
822 0 0 1 0 4
emeri 0 0 0 10 0
gabon 4 0 0 0 0
361 0 0 1 0 4
overshoot 1 0 5 0 0
852 2 0 0 0 2
ltphab 0 0 0 0 2
107 3 0 3 2 27
hojatoleslam 2 0 0 0 0
submiss 1 1 0 1 0
480 0 13 1 4 4
2440083 0 0 0 0 2
apparel 0 0 0 2 5
496 0 0 0 0 7
premerg 0 0 0 2 0
liu 1 0 0 0 1
inform 14 6 9 70 19
influenti 1 1 2 1 0
71000 0 0 0 1 3
366 1 2 0 1 9
ltchem 0 0 0 11 0
probabl 20 24 16 22 15
darwin 0 1 0 1 0
ltsummit 0 0 0 2 1
palac 2 0 0 1 1
valhi 0 0 0 0 2
threemonth 2 1 9 2 0
libya 7 1 1 0 1
big 4 6 15 9 11
denni 1 0 0 6 0
fade 0 1 1 0 0
dramat 1 2 6 1 7
ltcmco 0 0 0 2 0
oneweek 1 0 1 0 0
287 0 1 0 0 14
24000 1 1 0 0 4
realiz 1 2 1 10 26
reactiv 0 0 2 0 0
322 0 0 0 0 6
friend 1 0 0 1 1
982000 0 0 0 0 2
partsltcreb 0 0 0 2 0
ltpecn 0 0 0 1 1
1002 1 0 0 0 1
unreason 0 0 0 2 0
150 18 7 37 26 42
576 0 1 0 3 3
entail 1 0 0 2 0
smallest 0 0 0 1 1
ltbtr 0 0 0 2 0
hog 1 1 0 1 0
doyl 0 0 0 1 1
simpli 2 3 9 5 1
5568 0 0 0 0 2
longerterm 1 0 4 0 1
175000 1 1 0 0 2
4005 0 1 0 0 1
scenario 2 2 0 1 2
sunday 5 1 3 4 0
columbu 0 0 0 3 0
526 1 0 1 1 4
alleg 1 2 0 15 6
modern 2 0 1 1 4
itel 0 0 0 3 1
199000 0 0 0 0 2
hat 0 0 0 2 0
1311 2 0 0 0 1
complic 0 0 2 4 0
gdp 0 1 3 0 0
dormanc 0 5 0 0 0
compar 28 42 64 27 160
3213310 0 0 0 0 2
disput 8 5 5 16 10
edmonton 2 0 0 1 1
790 0 1 0 0 2
telco 0 0 0 0 2
permiss 0 1 0 7 0
ripe 0 0 2 0 0
dairi 0 5 0 1 4
apriljun 0 1 1 0 0
scienc 0 1 0 8 11
insititut 0 0 0 0 2
wipe 0 0 1 0 4
10572402 0 4 0 0 0
1175000 0 0 0 0 2
amerada 2 0 0 1 0
3005000 0 0 0 0 2
irna 2 0 0 0 0
46 4 1 2 12 51
2140 0 0 0 0 2
600000 0 4 0 7 13
usual 1 11 5 1 5
complianc 0 1 0 2 1
peso 0 0 1 6 2
walkout 0 1 0 0 1
conflict 4 2 5 1 1
ltatco 0 0 0 0 4
zambia 0 1 5 0 0
collaps 3 1 2 2 2
ltcti 0 0 0 2 1
necessari 7 6 29 22 15
offshor 28 0 2 5 5
belgian 0 0 6 7 3
180000 3 0 0 3 3
fourth 11 7 4 13 114
essex 0 0 0 0 3
851 0 0 0 0 6
broken 2 3 2 8 5
lteavkf 0 0 0 0 2
nonreport 2 0 0 0 0
ltcabvvi 0 0 0 1 1
ltorcl 0 0 0 0 2
telefon 0 0 0 2 0
412000 0 0 0 2 0
197000 0 1 0 0 1
wind 2 4 0 2 2
87 3 2 1 3 28
salt 0 0 0 5 1
ltfrsl 0 0 0 1 1
elevenday 0 0 2 0 0
son 0 0 0 7 2
45000 1 2 1 1 3
measur 28 25 52 11 16
276 0 2 0 0 14
145 1 15 9 14 24
evid 1 2 6 3 3
earmark 1 5 0 2 0
rival 1 0 1 24 1
fertilis 2 3 0 0 1
conserv 6 19 7 4 8
end 57 56 57 140 444
abdulaziz 3 0 0 0 0
fhlbb 0 0 0 4 0
tripl 1 1 2 0 2
132 1 2 0 3 22
joao 0 0 2 0 0
montli 0 0 0 0 2
note1985 0 0 0 0 10
yearend 3 0 4 14 33
authoris 0 4 4 5 3
1688 1 1 0 0 1
noteful 0 0 0 0 2
inward 0 0 3 0 0
wealthi 1 0 0 4 0
farmland 0 9 0 3 0
ride 0 0 2 0 1
166 3 1 1 3 23
newmont 0 0 1 3 2
671 0 0 0 0 3
interpret 0 2 2 3 1
abolish 1 2 3 0 2
shutin 3 0 0 0 0
143 4 1 2 2 17
ltcmin 0 0 0 2 1
gem 0 3 0 0 0
7505 0 0 0 0 2
1187 1 0 1 0 1
flight 0 1 1 7 5
impact 10 19 19 15 35
reclassif 0 0 0 0 3
189683 0 0 0 0 2
man 1 0 2 4 1
cambist 0 0 3 0 0
harm 6 1 3 3 1
macdonald 0 0 0 2 1
sorghum 0 26 0 0 0
13p 0 0 0 1 2
stoltenberg 1 0 3 1 0
rash 1 1 1 0 0
lttxc 2 0 0 0 0
kiichi 0 0 28 0 0
whampoa 0 0 0 2 2
ltfichtel 0 0 0 3 0
ferdinand 0 0 0 5 0
herbert 0 0 1 1 3
105p 0 0 0 0 2
tactic 0 1 1 5 0
shopp 0 0 0 0 2
fals 1 0 2 3 1
antil 0 0 0 3 0
ltbldsst 0 0 0 2 0
iwc 0 4 0 0 0
180day 1 0 1 0 0
lthci 0 0 0 2 0
134 3 4 2 2 38
oilfield 12 0 0 5 1
lawn 0 0 0 2 3
brownforman 0 0 0 0 3
2800 1 1 0 1 0
709 1 0 0 0 3
pershar 0 0 0 2 13
cenergi 0 0 0 5 1
dougla 0 0 0 5 2
1250000 0 0 0 1 2
54 4 2 1 25 31
11254837 0 3 0 0 0
murray 1 0 0 3 4
458000 0 0 0 0 2
biochem 0 0 0 0 2
597000 0 0 0 0 2
intl 0 0 0 14 10
1780000 0 0 0 0 2
obvious 1 1 1 7 1
dune 1 0 0 0 1
882 0 0 0 0 3
african 3 5 0 7 2
pampa 0 4 0 0 0
668 0 0 0 0 5
shipown 3 0 0 0 0
1077 0 2 0 0 0
390 0 0 0 3 9
camco 0 0 0 1 2
isol 1 2 2 0 0
264 2 1 0 1 8
910000 0 1 0 0 1
733000 0 0 0 0 2
benefit 14 13 12 22 52
ltpltzc 0 0 0 0 2
329000 0 0 0 0 3
vagu 0 0 2 1 1
572000 0 0 0 0 3
rio 4 5 0 4 0
barney 3 0 6 5 3
ltdni 0 0 0 1 1
4968000 0 0 0 1 1
finish 4 2 6 3 3
asset 5 0 12 195 123
ltflt 0 0 0 4 0
power 5 5 5 38 42
lock 1 2 1 0 1
2400000 0 0 0 1 3
televis 11 0 7 31 9
swift 2 0 3 0 2
guard 5 0 2 6 0
efhutton 0 0 0 2 0
91116 0 0 6 0 0
paymentinkind 0 2 0 0 0
570000 0 0 0 0 4
yanbu 2 0 0 0 0
strain 3 5 7 2 1
20crown 0 0 0 0 2
ltelxa 0 0 0 2 1
determin 18 17 21 30 16
mixtur 0 0 2 2 0
lthrl 0 0 0 0 2
handi 0 0 0 1 1
van 1 2 0 3 4
296 1 2 0 1 8
ltanglo 0 0 0 2 0
barn 0 0 0 0 3
ltcmtl 0 0 0 1 1
lthawker 0 0 0 2 1
vari 0 5 0 0 1
writedown 0 0 0 1 82
ltbanca 0 0 0 2 1
1800 1 2 0 3 0
60000 0 7 0 3 2
webb 0 0 0 1 1
413021 0 0 0 0 2
import 69 76 54 22 18
198687 4 61 5 1 14
reid 0 0 0 2 0
815 0 0 0 0 4
1741437 0 0 0 0 2
llc 0 0 0 0 2
sugarcan 0 4 0 0 0
505 0 1 2 1 4
haruya 0 0 2 0 0
outstrip 0 1 2 0 1
caution 0 1 9 0 3
manuel 0 0 2 0 0
prescrib 1 0 0 0 1
deflat 1 0 1 0 0
regular 1 3 9 3 98
space 1 2 1 2 4
4552 0 1 0 0 1
reemerg 0 1 1 0 0
273000 0 0 0 0 3
282000 0 0 0 0 3
he 0 1 2 4 0
stamford 0 0 0 2 0
due 38 40 49 61 136
2413 0 0 0 0 3
957 0 0 1 0 3
336 0 0 0 0 6
negara 0 0 1 1 0
202 0 1 2 1 12
tract 4 0 0 0 0
2093 0 0 0 0 2
trailer 0 0 0 3 1
aquir 0 0 0 4 0
easier 1 2 4 2 0
lttsng 0 0 0 0 2
187 2 3 7 3 16
58000 2 0 0 0 4
sixyear 0 1 0 1 0
122 3 0 1 2 29
curti 1 0 0 1 0
portug 0 7 0 2 0
988 0 0 0 0 3
endotron 0 0 0 0 4
8k 0 0 0 1 1
lth 0 0 0 1 2
addit 27 42 25 113 89
ltsoutham 0 0 0 2 0
allen 1 3 0 2 0
42000 0 1 2 1 2
743000 0 0 0 0 2
370 1 1 1 2 6
bomb 3 1 0 0 1
650 0 1 3 5 15
ad 76 51 79 116 108
ideal 1 1 5 1 1
night 18 6 4 17 5
famili 0 5 1 32 5
sinter 0 0 0 2 0
shorter 0 1 1 0 0
778000 0 0 0 0 2
ltgd 0 0 0 2 1
ltagnc 0 0 0 0 2
199 3 0 0 9 19
kerridg 2 0 0 1 0
compil 0 0 1 1 0
love 0 0 1 2 1
admiralti 0 0 0 3 0
ltal 0 0 0 1 1
presum 0 0 1 3 0
092 0 14 0 0 0
993000 0 0 0 0 2
bicycl 0 0 0 0 2
583 0 0 0 1 4
