359 428 535 1617 2848
4867 0 0 0 0 1
55581 0 0 0 0 1
oak 0 0 0 6 6
401000 0 0 0 0 1
pocketpl 0 0 0 1 0
ltbltfx 0 0 0 0 1
13year 2 0 0 0 0
3485000 0 0 0 0 1
warmer 2 1 0 0 0
ltcsyi 0 0 0 1 0
ltvago 0 0 0 1 0
2021000 0 0 0 0 2
debit 0 0 0 0 21
70009000 0 1 0 0 0
2039 0 0 0 0 2
koppaberg 0 0 0 1 0
laid 2 0 0 0 2
shortdat 0 0 2 0 0
plight 1 0 0 0 0
knox 0 0 0 0 2
ltoglethorp 0 0 0 0 1
222 0 1 1 1 12
706 0 0 0 0 3
5738 0 0 0 0 1
2598000 0 0 0 0 3
situatin 0 0 0 1 0
1673960 0 0 0 0 1
southam 0 0 0 2 0
reinterpret 0 0 1 0 0
anyth 6 2 12 1 2
164553 0 0 0 0 1
7535 0 0 0 0 2
corel 0 0 2 0 0
nonrenounc 0 0 0 0 1
saleabl 0 0 0 2 0
photo 0 0 0 1 2
railroad 2 2 0 12 3
kusumaatmadja 0 1 0 0 0
lifetimeltlft 0 0 0 1 0
mosl 0 0 0 1 0
dlra 0 0 0 1 0
538p 0 0 0 0 1
473000 0 0 0 0 1
2438000 0 0 0 0 1
telemedia 0 0 0 1 0
lthimg 0 0 0 0 1
egg 0 2 2 1 3
ltplit 0 0 0 0 1
536040 0 0 0 0 1
karlheinz 0 0 0 0 1
7943 0 0 0 0 1
19078072 0 0 0 0 1
explain 5 2 9 10 6
2918 0 0 0 0 2
oversuppli 0 0 1 0 1
ltvickl 0 0 0 1 0
2750 0 1 0 0 0
ltktii 0 0 0 0 1
impractic 0 0 0 1 0
218 0 1 0 2 7
bia 0 1 1 0 0
evergrow 0 0 1 0 0
7226 0 0 0 0 1
20406 0 0 0 0 1
plane 5 1 0 2 5
5887165 0 0 0 1 0
904000 0 0 0 0 2
ltgmp 0 0 0 0 1
3137695 0 0 0 0 1
6238720 0 0 0 0 1
2247 0 0 0 0 2
40year 0 0 3 0 0
3062000 0 0 0 0 1
8246849000 0 1 0 0 0
8377000 0 0 0 0 1
ltcawll 0 0 0 10 1
ltahlna 0 0 0 0 1
munro 0 0 0 0 1
7602000 0 0 0 0 1
mg 0 0 0 0 1
341991 0 0 0 1 0
interc 0 0 0 0 2
trustco 0 0 0 0 6
612000 0 1 0 0 2
multiprocessor 0 0 0 1 0
triennial 0 0 1 0 0
seoul 1 0 1 0 1
ltholladaytyl 0 0 0 1 0
66667 0 0 0 0 1
retaliatori 0 2 0 1 0
harrowsmith 0 0 0 1 0
favour 9 7 17 8 1
balk 0 0 0 2 0
printer 0 0 0 3 2
sushi 0 0 1 0 0
italian 3 2 5 13 2
259948 0 0 0 0 2
3160 0 0 0 1 1
7169 0 0 0 0 1
eurasbank 0 0 0 1 0
midnovemb 0 1 0 0 0
712 0 0 3 1 9
writer 1 0 0 0 1
821 0 1 0 0 4
nashua 0 0 0 1 0
4646285 0 0 0 0 1
infer 0 0 3 0 0
microprocessor 0 0 0 1 0
ltroyex 0 0 0 1 0
4991 0 0 0 0 1
1008000 0 0 0 0 1
senat 4 22 14 6 0
multiyear 0 2 0 1 0
11744 0 1 0 0 0
reimburs 0 2 0 5 1
sheehi 0 0 0 0 2
shield 1 0 0 4 5
ltmel 0 0 0 0 1
correctedlilli 0 0 0 0 1
243 1 0 1 0 13
23p 0 0 0 1 0
4429 0 0 0 0 2
unjustifi 0 2 0 0 0
2252246 0 0 0 0 2
carroon 0 0 0 1 0
postit 1 0 0 0 0
resal 0 0 10 2 0
tsunao 0 0 0 0 1
221 0 1 0 1 12
rowntre 0 0 0 0 2
warehous 0 2 0 1 4
ltwii 0 0 0 0 2
5200000 0 0 0 0 3
4014 0 0 0 1 0
dreyer 0 0 0 0 1
gavin 0 0 0 0 1
ltessfpa 1 0 0 0 1
azzam 0 0 1 0 0
refelct 0 0 0 0 1
haerri 0 0 0 0 1
bay 6 0 0 5 4
4140 0 0 1 0 0
2654 0 0 0 0 2
assett 0 0 0 0 1
2026000 0 0 0 0 1
6520928 0 0 0 0 1
deanalco 0 0 0 1 0
tranzon 0 0 0 0 1
venezuelaecuador 1 0 0 0 0
lterb 0 0 0 1 0
294650 0 0 0 0 1
530000 0 1 0 1 3
twelveday 0 0 1 0 0
dattel 0 0 1 0 0
4862046 0 0 0 0 1
155410 0 0 0 0 1
staalfabrieken 0 0 0 0 1
oii 0 0 0 2 0
national 1 1 0 4 2
4021000 0 0 0 0 1
14690 0 0 1 0 0
crandel 0 0 0 1 0
ltprimagaz 0 0 0 1 0
interrupt 0 2 0 1 1
684000 0 0 0 0 1
1154 0 1 0 0 0
ltgsw 0 0 0 0 1
100dlr 0 0 0 1 0
citybank 0 0 0 1 0
mingl 0 1 0 0 0
amc 0 0 0 14 2
7020 0 0 1 0 0
apr 0 1 0 0 0
weekli 15 19 14 5 1
1797585 0 0 2 0 0
753518 0 0 0 0 1
conduct 5 3 12 6 10
2105 0 0 0 1 0
3438 0 0 1 0 0
kodel 0 0 0 0 1
9343228 0 0 0 0 1
4118 0 0 0 1 2
scottsboro 0 0 0 1 0
baseless 4 0 0 0 0
seventi 0 0 1 0 0
usair 0 0 0 42 1
lombardo 0 0 0 1 0
kirin 0 0 0 0 1
lttecd 0 0 0 0 2
ltconf 0 0 0 1 0
ltmetallurg 0 0 0 1 0
ltksz 0 0 0 1 0
566429 0 0 0 0 1
emiss 1 0 0 0 0
martinez 0 1 0 0 0
visbreak 1 0 0 0 0
940000 1 0 0 1 1
ltenv 0 0 0 0 1
esther 0 0 0 1 0
1499234 0 0 0 0 1
082 0 1 0 0 0
canon 0 0 0 0 2
magazin 0 0 1 5 2
trough 0 0 2 0 0
escap 0 0 0 1 0
starcraft 0 0 0 1 0
247970 0 0 0 0 2
batu 0 0 0 0 1
maison 0 0 1 1 0
1761900 0 0 0 0 1
0686469 0 0 1 0 0
counterpoint 1 0 0 0 0
mediterrane 0 0 0 0 2
lennox 0 0 0 0 1
fraternit 0 1 0 0 0
176287 0 1 0 0 0
35000 6 5 1 4 7
26947 0 0 0 0 1
unsold 0 1 0 0 0
ltsout 0 0 0 0 1
snettisham 0 0 0 1 0
preorgan 0 0 0 0 1
3904373 0 0 0 0 1
ltsure 0 0 0 0 1
pittway 0 0 0 0 1
chirac 0 1 1 1 0
9589000 0 0 0 0 1
ltivaco 0 0 0 0 1
journalist 0 1 5 2 4
lubi 0 0 0 0 1
braverman 0 0 2 0 0
766066 0 0 0 0 1
assess 3 7 6 5 3
moulder 0 0 0 1 0
3615550 0 0 0 0 1
288 0 1 1 1 8
ltun 0 0 0 1 0
1248000 0 0 0 0 2
ltisland 0 0 0 0 1
mid20 0 1 0 0 0
8302000 0 0 0 0 1
2145967 0 0 0 0 1
20000 2 8 0 1 3
700p 0 0 0 3 0
1001315 0 0 0 0 1
2821000 0 0 0 0 1
valtek 0 0 0 1 1
politicallyinhibit 0 0 1 0 0
midam 0 1 0 0 0
ltcimarron 0 0 0 0 1
080 1 0 0 0 1
lifter 1 0 0 0 0
autonom 0 0 3 1 0
henri 1 0 2 5 3
4000045000 0 1 0 0 0
conosolid 0 0 0 0 1
ltahp 0 0 0 1 0
522000 0 0 0 0 1
mine 17 0 2 49 34
532299 0 1 0 0 0
ruhr 0 0 0 0 1
strictli 4 2 0 0 0
wield 0 0 1 0 0
2405000 0 0 0 0 1
misinterpret 0 0 1 0 0
theatr 0 0 0 1 1
guadalco 0 0 0 1 0
1236347 0 0 0 0 1
2292 0 0 0 0 1
tian 0 1 1 0 0
274000 0 0 0 0 1
germanybas 0 0 0 1 0
326675 0 0 0 0 1
uncov 0 0 0 1 0
708 0 0 0 0 4
drew 1 0 5 0 1
1364 0 0 0 0 2
ltcbi 0 0 0 0 1
hosieri 0 0 0 1 0
sni 0 0 0 1 0
acquisitioon 0 0 0 1 0
03 2 2 4 0 2
840075 0 0 0 0 1
31182 0 0 0 1 0
647390 0 0 0 0 1
astral 0 0 0 1 0
126434000 0 0 0 0 1
466000 0 0 0 1 2
gesamtmetal 0 0 1 0 0
anglodutch 0 0 0 0 2
32384 0 0 0 0 1
linen 0 0 0 0 1
ferrado 0 0 0 1 0
1443000 0 0 0 0 1
rhm 0 0 0 0 1
kuhlmann 0 0 0 3 0
3350000 0 0 0 0 1
488000 0 0 0 0 1
ltpshgf 0 0 0 0 2
chile 1 0 0 2 0
readjust 0 0 0 1 0
fled 1 0 0 1 0
148070 0 0 0 0 1
houdstermaatschappij 0 0 0 1 0
5029000 0 0 0 0 1
1298257 0 0 0 0 1
ramapo 0 0 0 1 0
kjell 0 0 0 4 0
krueger 0 0 0 0 1
320 0 1 1 2 11
ltswf 0 0 0 2 0
ltaci 0 0 0 1 1
parent 1 0 0 24 50
baa2 0 0 0 2 0
926964 0 0 0 0 1
2010972 0 0 0 0 1
ltasbestec 0 0 0 1 0
2539 0 0 0 0 1
2407 0 0 0 1 1
nakamura 0 1 0 0 0
ming 0 1 0 1 0
master 0 0 0 2 5
wish 6 1 5 7 1
ltcour 0 0 0 0 1
porsch 0 0 0 0 2
corpoart 0 0 0 0 1
historian 0 0 0 1 0
smorada 0 0 0 1 0
ltbtlr 0 0 0 4 0
1482030 0 0 1 0 0
ltsei 0 0 0 0 1
ishrat 0 0 1 0 0
heaviest 0 4 0 0 0
7370 0 0 0 0 1
970p 0 0 0 0 1
5165 1 0 0 0 0
841908 0 0 0 0 1
6 4 10 7 16 23
thirdparti 0 0 0 0 2
westburn 0 0 0 1 0
lttrizec 0 0 0 0 1
cashonli 0 0 0 1 0
ab 2 0 0 24 12
1900 0 1 2 1 2
cornwal 0 0 0 1 0
ltmab 0 0 0 1 1
filmpartn 0 0 0 1 0
171 0 1 2 1 23
sismik 4 0 0 0 0
476 0 1 0 0 2
182000 0 0 0 1 1
3744 0 1 1 0 0
ltdolr 0 0 0 0 2
1101 0 0 0 0 3
mccormack 0 0 0 2 0
rain 2 20 0 0 0
4066 0 0 0 0 2
widebodi 0 0 0 0 1
synergi 0 0 0 4 0
ltfgi 0 0 0 0 1
lawmak 1 7 0 0 1
2691000 0 0 0 0 1
11684 0 1 0 0 0
spindl 0 0 0 0 1
863000 0 0 0 0 3
someth 1 3 8 6 3
ltbillboard 0 0 0 1 0
tandem 0 0 0 1 1
rupert 0 0 0 1 1
airfram 0 0 0 1 0
canari 0 2 0 0 0
101 3 4 2 5 36
2341818 0 0 0 0 1
956000 0 0 0 0 1
kleervu 0 0 0 1 0
64 6 5 0 6 50
3965000 0 0 0 0 1
472000 0 1 0 0 2
ltmne 0 0 0 3 0
9515000 0 0 0 0 1
6570000 0 0 0 0 1
flexibl 2 0 11 3 11
330613 0 0 0 0 1
renminbi 0 0 1 0 0
cocoa 0 1 0 0 0
tpa 0 0 0 1 1
guin 0 0 0 5 1
nonpharmaceut 0 0 0 0 1
1202 0 0 0 0 1
qlti 0 0 0 0 1
yochum 0 0 0 0 1
clearn 0 0 0 0 1
deflect 0 1 0 0 0
timess 0 0 0 0 1
bonanza 1 0 0 0 1
ltdbc 0 0 0 1 0
dubili 0 0 0 4 0
18003000 0 0 0 0 1
1356000 0 0 0 0 2
identif 0 0 0 1 0
diego 0 0 0 1 1
83100 0 0 0 0 1
chemfix 0 0 0 0 2
198990 0 1 0 0 0
updat 1 3 0 1 2
temporarili 5 1 3 2 2
ltanixt 0 0 0 1 0
contl 0 0 0 0 4
quartelri 0 0 0 0 1
2852198 0 0 0 0 2
3006s302 0 0 0 0 1
ltthk 0 0 0 0 1
dlrsbbl 16 0 0 0 0
mitsotaki 2 0 0 0 0
raffinag 1 0 0 0 0
ltqchm 0 0 0 0 1
27000 0 3 0 0 2
5820000 0 0 0 0 1
ltbbn 0 0 0 1 0
1416 0 0 0 0 1
2751 0 1 0 0 0
1519360 0 0 0 0 1
detach 0 0 0 1 0
ltwasa 0 0 0 1 0
555000 0 0 0 0 1
842 0 0 0 1 1
ltcrcm 0 0 0 1 0
bahia 0 1 0 0 0
professor 0 0 1 2 0
2218 0 0 0 0 2
343500 0 0 0 1 0
jannock 0 0 0 1 0
earner 0 0 0 0 3
mueller 0 0 2 1 0
226 1 1 1 0 14
ltskandia 0 0 0 1 0
sixmemb 1 0 0 1 0
sugarcontain 0 2 0 0 0
reexamin 0 3 0 0 0
rocki 0 0 0 1 4
lag 2 1 2 1 1
farmer 4 76 0 3 2
tough 3 2 0 2 1
1439498 0 0 0 1 0
ltcd 0 0 0 1 0
3173 0 0 0 0 1
lull 4 0 1 0 0
10year 1 3 3 2 0
2609313 0 0 0 0 1
vallen 0 0 0 0 1
input 0 1 0 1 0
brad 0 0 0 0 1
amvestor 0 0 0 0 2
ltstri 0 0 0 1 0
psa 0 0 0 3 0
715000 0 0 0 0 2
4885000 0 0 0 0 2
ltackerli 0 0 0 0 1
6875 0 0 0 0 1
276000 0 0 0 0 2
941 0 0 0 0 3
solv 0 1 4 2 0
carl 1 0 0 20 1
18243 0 0 2 0 0
tangl 0 0 0 1 0
662 1 1 0 0 8
frere 0 0 0 1 0
nearrecord 0 2 0 0 0
2481784 0 0 0 0 1
iea 4 0 0 0 0
unsatisfactori 0 1 2 0 5
189388 0 0 0 0 1
nahum 0 0 0 1 0
ltcda 0 0 0 1 0
liven 0 0 0 0 1
syrup55 0 2 0 0 0
sincer 0 1 0 0 0
1108 0 0 0 0 1
8548 1 0 0 0 0
dvfa 0 0 0 0 2
shear 0 0 0 1 0
ltbbk 0 0 0 0 1
eager 0 1 1 5 1
1081000 0 0 0 0 1
4783000 0 0 0 0 1
tar 1 0 0 0 0
6234 1 1 0 0 0
relax 1 1 3 0 1
capel 0 0 1 5 4
frown 0 0 0 1 0
shall 0 1 0 5 0
vicin 1 0 0 0 0
horticultur 0 0 0 0 1
374108 0 0 0 0 1
texstyren 0 0 0 1 2
1754 0 0 0 0 1
happi 0 0 6 2 0
644 1 0 0 0 4
941000 0 0 0 0 3
1130000 0 0 0 0 2
2345000 0 0 0 0 1
8037000 0 0 0 0 1
pharmacia 0 0 0 0 2
ltanza 0 0 1 0 0
10786 0 0 1 0 0
georgiapacif 0 0 0 0 2
surplus 0 6 11 0 0
roubl 0 1 0 0 0
ltendo 0 0 0 0 3
205700 0 1 0 0 0
ltmorgan 0 0 1 2 3
citiesabc 0 0 0 0 1
amex 0 0 0 2 0
mnln 0 0 0 0 1
5454000 0 0 0 0 1
lttpo 0 0 0 1 1
broader 1 2 3 4 0
lui 1 3 0 0 0
glantz 0 0 0 2 0
groundwat 0 0 0 0 1
lteldr 0 0 0 1 1
ltmccaughan 0 0 0 0 1
3044 0 0 0 0 2
iranian 21 0 0 1 1
rebellion 0 0 0 1 0
trademark 0 0 0 4 1
gurne 0 0 0 2 0
helm 0 1 0 1 2
340852 0 0 0 0 1
tinker 0 2 4 0 0
alitalia 0 0 0 0 2
ltsptn 0 0 0 0 2
236 0 1 0 0 7
1601000 0 0 0 0 1
spinoff 0 0 0 7 5
bahar 1 0 0 0 0
osprey 1 0 0 0 0
79250 0 1 0 0 0
89450 0 0 0 1 0
ltmeridian 0 0 0 2 0
ltcrtr 0 0 0 1 1
1082700 0 0 0 0 1
hardesthit 1 0 0 0 0
energysteel 1 0 0 0 0
repli 9 3 7 8 2
refineri 47 0 0 1 3
chatsworth 0 0 0 2 0
terra 1 0 0 0 1
norm 0 0 0 0 1
3546000 0 0 0 0 1
colosseum 0 0 0 1 0
saito 0 0 2 0 0
ltuvrhold 0 0 0 1 0
prefin 1 0 0 0 0
lten 0 0 0 1 2
ccic 0 0 0 0 1
315695dwt 1 0 0 0 0
kit 0 0 0 1 2
deb 0 0 0 0 3
1512534 0 0 0 0 3
1298377 0 0 0 0 1
endeavor 0 0 0 1 0
injunct 1 0 0 13 0
63000 0 0 0 1 5
telecast 0 0 0 1 0
corpror 0 0 0 1 0
1894764 0 3 0 0 0
resel 0 0 1 1 1
viciou 0 0 1 0 0
77000 0 0 0 0 2
negotit 0 0 0 1 0
ltcmic 0 0 0 0 1
121997 0 0 0 0 1
scheetz 0 0 0 1 0
nanot 0 1 0 0 0
821979 0 0 0 0 1
coilfrick 0 0 0 1 0
sheldaul 0 0 0 1 0
yorkarea 0 0 0 2 0
ussoviet 1 2 0 0 0
tillag 0 0 0 1 0
ltnhci 0 0 0 1 0
teapa 1 0 0 0 0
ensourc 0 0 0 0 1
lowcost 0 0 0 0 1
552500 0 0 0 0 1
symbol 1 1 0 3 5
silent 0 0 0 3 0
1639 2 0 0 0 0
947 0 0 0 2 0
multnomah 0 0 0 1 0
restitut 0 1 0 0 0
ltrmuc 0 0 0 0 2
corn 1 138 0 11 0
8877000 0 0 0 0 1
loewi 0 1 0 0 0
systemhous 0 0 0 0 1
alchalabi 3 0 0 0 0
63 1 4 3 11 37
468000 0 0 0 0 1
frion 1 0 0 0 0
ltpsr 0 0 0 0 1
unilater 2 1 5 1 1
wnnram 0 0 0 0 1
30391 0 0 0 1 0
lethargi 0 0 1 0 0
reaffirm 3 0 6 5 4
64068 1 0 0 0 0
goria 0 0 0 1 0
ltahc 1 0 0 0 0
prematur 0 4 1 0 2
shorthaul 1 0 0 0 0
ltjagrl 0 0 0 0 1
7500 1 1 0 1 0
al 2 0 0 0 3
meat 1 4 0 1 1
23yearold 0 0 1 0 0
873 0 0 0 1 4
ltstd 0 0 0 0 1
friedman 0 0 0 0 1
nord 0 0 0 0 2
copley 0 0 0 0 2
ltjaczz 0 0 0 1 2
durum 0 10 0 0 0
8052000 0 0 0 0 1
mozambiqu 0 1 0 0 0
courier 0 0 0 26 1
somfa 0 1 0 0 0
ozarka 0 0 0 1 0
1284 1 0 0 0 3
6706 0 0 0 0 1
compass 0 0 0 1 0
schlumberg 1 0 0 11 0
venango 0 0 0 1 0
26158000 0 0 0 0 1
intertechnolog 0 0 0 0 1
835010 0 0 0 0 1
1019 0 0 0 0 2
15cntpershar 0 0 0 0 1
cabinetlevel 0 3 0 0 0
eat 0 3 1 0 0
ltkwp 0 0 0 1 0
75200 0 1 0 0 0
ltkdi 0 0 0 1 0
teddi 0 0 0 0 1
700800 0 0 0 1 0
30077000 0 0 0 0 1
ltsie 0 0 0 0 1
3748357 0 0 0 0 1
1412 0 0 2 0 3
1392 0 0 0 0 4
khon 0 1 0 0 0
1825000 0 0 0 0 1
mesa 1 0 0 2 2
1185 1 0 0 2 1
compliment 0 0 0 1 0
ltsfx 0 0 0 6 0
4744000 0 0 0 0 2
5387 0 0 0 0 1
1666650 0 0 0 1 0
ltsenior 0 0 0 1 0
57450 0 1 0 0 0
horizon 0 0 0 4 3
tf1 0 0 0 1 0
unithold 1 0 0 1 8
cefadroxil 0 0 0 0 1
286 0 1 0 3 9
6601717 0 0 0 0 1
decatur 0 2 0 1 0
5456 0 0 0 0 1
alltim 1 0 0 0 2
3916 0 0 0 0 1
14248 0 0 0 0 1
aggreg 1 0 2 16 4
1858000 0 0 0 0 1
sioux 0 0 0 1 0
stringfellow 0 0 0 0 1
manufactur 4 4 9 91 46
3365 0 0 0 0 1
24660000 0 0 0 0 1
ltgcn 0 0 0 0 4
399000 0 1 0 0 0
safer 1 0 0 0 0
shepherd 0 0 1 0 0
5568319 0 0 0 0 1
nucor 0 0 0 0 1
ltwdfc 0 0 0 0 1
ltkleervu 0 0 0 1 0
phlx 0 0 2 0 0
chicken 1 0 0 1 0
1237p 0 0 0 0 1
ltsh 0 0 0 1 0
wor 0 0 0 6 0
temporari 3 3 38 10 6
ltmavr 0 0 0 0 1
ltfrt 0 0 0 0 1
setasid 0 4 0 0 1
btu 1 0 0 0 0
ltxiamen 0 0 0 0 1
40003000 0 1 0 0 0
jopl 0 1 0 0 0
britain 6 8 54 15 7
6968700 0 0 0 0 1
2253143000 0 1 0 0 0
1552 0 0 0 0 1
1236 0 0 0 0 2
britoil 0 0 0 0 2
34700 0 1 0 0 0
198000 0 1 0 0 2
7236000 0 0 0 0 1
fundament 7 1 36 2 1
8043 0 0 0 0 1
617 0 0 0 0 5
pegcatalas 0 0 0 1 0
532807 0 0 0 1 0
659000 0 0 0 0 3
42840 0 0 0 0 1
enhanc 7 43 3 12 10
5760 1 0 0 0 1
priceearn 0 0 0 0 1
adkerson 1 0 0 0 0
66 1 2 2 8 33
ltu 0 0 0 29 1
1387500 0 0 0 0 1
burri 0 0 0 0 1
1247000 0 0 0 0 2
chien 0 0 1 0 0
unmanag 0 0 0 0 1
lttbc 0 0 0 1 0
ltctrn 0 0 0 0 1
2850 0 0 0 1 0
intercapit 0 0 0 1 0
2433000 0 0 0 0 2
4524000 0 0 0 0 1
rminn 0 8 0 0 0
ltcontrol 0 0 0 1 0
11607104 0 0 0 0 1
soriano 0 0 0 4 0
ltppi 0 0 0 0 1
807 0 0 0 1 3
2215p 0 0 0 0 1
601000 0 0 0 0 1
7564000 0 0 0 0 1
shareit 0 0 0 0 1
england 0 1 116 13 7
awash 0 0 0 0 1
arena 0 0 0 4 0
maxtor 0 0 0 1 0
powel 0 0 0 1 0
mentor 0 0 0 1 0
deadweight 1 0 0 0 0
rhetor 0 0 3 0 0
deck 0 0 0 0 1
reven 0 0 0 1 0
toho 0 0 0 1 0
agree 0 0 0 1 0
zaid 1 0 0 0 0
childhood 0 0 1 1 0
2859 0 0 0 0 1
wichita 0 0 0 1 1
ltbgph 0 0 0 1 0
ltsystem 0 0 0 2 1
saiddri 0 1 0 0 0
ltwmt 0 0 0 0 2
3137 0 0 0 0 2
sfa 0 0 0 0 1
ltalk 0 0 0 0 1
anaheim 0 0 0 1 0
nokia 0 0 0 1 0
chun 0 0 0 0 1
ltecl 0 0 0 1 0
avg 0 2 0 0 407
634 0 0 1 0 3
uptrend 0 0 1 0 0
30160000 0 0 0 0 1
coleco 0 0 0 0 2
549000 0 0 0 0 1
2419203 0 0 0 0 1
moo 0 2 0 0 0
sheer 0 1 1 1 0
230188 0 0 0 0 1
varityltvat 0 0 0 0 1
version 1 2 1 0 4
farrington 0 0 0 0 1
3122000 0 0 0 0 1
burma 0 1 0 0 0
physician 0 0 0 3 2
tasmania 0 0 0 1 0
818000 0 0 0 0 1
535110 0 0 0 0 1
theatric 0 0 0 1 0
3930360 0 0 0 0 1
lttcoma 0 0 0 1 0
cfa 0 0 0 1 0
1920527 0 0 0 1 0
ltfiduciari 0 0 0 0 1
lthmsb 0 0 0 0 2
young 0 1 0 4 1
fauber 0 0 0 0 1
shakey 0 0 1 0 0
englebright 0 1 0 0 0
10493 0 0 1 0 0
ltbitc 0 0 0 1 0
avatar 0 0 0 0 1
quartter 0 0 0 0 1
creek 1 0 0 5 0
biltmor 0 0 0 2 0
ltwi 0 0 0 0 1
maha 0 1 0 0 0
liberalis 3 3 7 0 1
4941000 0 0 0 0 2
2700000 0 0 0 1 0
584493 0 0 0 0 1
ltcontran 0 0 0 0 1
missil 14 0 0 2 0
bennigan 0 0 0 0 1
ltstr 0 0 0 2 0
1541 0 0 0 0 1
closelyknit 0 0 1 0 0
4978965 0 0 0 0 1
0955 0 0 0 0 1
416777 0 0 0 0 1
plead 0 0 0 0 2
califoirnia 0 0 0 0 1
ltfbgi 0 0 0 0 1
pare 1 0 0 0 0
6264000 0 0 0 0 1
351000 0 0 0 0 1
lttcb 0 0 0 1 1
importintens 0 0 2 0 0
nowak 1 0 0 0 1
motorola 0 0 0 1 0
2555 0 0 0 1 0
benz 0 0 0 0 1
gnp 0 0 5 0 2
boulangeri 0 0 0 1 0
west 36 17 84 45 34
quartz 0 0 0 1 1
development 0 0 0 0 1
leonhard 0 0 1 0 0
saxton 0 0 0 0 1
1490 0 0 0 0 1
4039000 0 0 0 0 1
602 0 0 1 0 2
1st 0 0 0 3 247
767 0 2 0 1 0
61901 0 0 0 0 1
18924 0 0 0 1 0
1930734 0 0 0 1 0
0006916 0 0 1 0 0
grit 0 0 2 0 0
ltmedecin 0 0 0 1 0
meston 0 0 0 1 1
healthsouth 0 0 0 0 1
4360000 0 0 0 0 1
ltburkeparsonsbowlbi 0 0 0 0 1
1365000 0 0 0 0 1
ltkr 0 0 0 1 0
merrimac 0 0 0 0 1
spokeswoman 6 3 3 15 4
agfagevaert 0 0 0 0 1
015 1 0 0 0 0
7591564 0 0 0 0 1
4797 0 1 0 0 1
2986000 0 0 0 0 2
ltdelhi 0 0 0 3 0
panin 0 0 0 0 1
2135315 0 0 0 0 1
ltmethb 0 0 0 0 1
wereng 0 1 0 0 0
1197700 0 0 0 1 0
ltaxp 0 0 0 11 0
136594000 0 0 0 0 1
2075 0 0 0 0 1
belowaverag 0 1 0 0 0
usgaragh 0 1 0 0 0
ltgalcf 0 0 0 0 2
381000000 0 0 0 0 1
rosewood 0 0 0 2 0
26432 0 0 0 0 1
ltenuc 0 0 0 0 1
amcor 0 0 0 1 0
nitrogen 0 2 0 0 1
mediumterm 1 0 6 0 1
8937000 0 0 0 0 2
wednesday 6 3 15 10 2
lthosp 0 0 0 0 1
griffin 0 0 0 0 1
64013000 0 0 0 0 1
ltbac 0 0 0 5 3
saudia 2 0 0 0 0
grandeazor 0 1 0 0 0
58863 0 0 0 0 1
delval 0 0 0 0 1
frame 0 1 0 1 0
1128 0 0 0 0 3
wine 0 1 0 2 1
713 0 0 2 0 2
6244000 0 0 0 0 1
2313000 0 0 0 0 2
3692000 0 0 0 0 1
nearest 0 1 1 0 0
8157864 0 0 0 0 1
596000 0 0 0 0 2
renfrew 0 0 0 0 1
corea 0 1 0 0 0
hoon 0 0 0 0 1
25year 1 0 0 0 0
nettleton 0 0 0 0 1
3006 0 0 0 0 1
constitu 0 0 0 0 1
genex 0 0 0 0 1
2940219 0 0 0 0 1
et 2 0 0 2 1
growth 11 12 59 18 96
gather 4 0 4 4 0
1434 0 0 0 1 0
3768000 0 0 0 0 1
bjoern 1 0 0 0 0
gruop 0 0 0 0 1
peter 4 3 3 8 5
abn 0 0 1 0 1
robertshaw 0 0 0 1 0
siegler 0 0 0 6 0
ltgactz 0 0 0 0 2
972794 0 1 0 0 0
967 0 0 0 0 3
ltjo 0 0 0 1 0
glidden 0 0 0 0 1
octoberdecemb 0 0 0 0 1
consortia 0 0 0 6 0
ltben 0 0 0 1 2
59800 0 0 0 0 1
ltjaguar 0 0 0 0 1
broad 3 3 11 4 5
govt 1 0 0 0 1
subordi 0 0 0 0 1
ltdmag 0 0 0 0 1
promisari 0 0 0 1 0
ltgeorgeson 0 0 0 1 0
396000 0 0 0 0 2
technisch 0 0 0 1 0
ltatvc 0 0 0 1 0
multibillion 0 0 0 1 1
unifi 0 0 2 0 0
x1986 0 1 0 0 0
superpow 3 0 0 0 0
leadacid 0 0 0 1 0
portend 1 0 0 0 0
1379453 0 0 0 0 1
nvhome 0 0 0 0 1
pyabl 0 0 0 0 1
35936000 0 0 0 0 1
wf 0 0 0 1 0
architectur 0 1 0 1 1
unforeseen 0 0 0 0 2
90470 0 0 0 0 1
ammend 1 0 0 0 0
158109 0 1 0 0 0
3171900 0 0 0 0 1
ltdaewoo 1 0 0 0 1
ltwpla 0 0 0 0 2
protection 0 1 9 1 0
3046 0 0 0 0 1
quibbl 0 0 0 1 0
5101747 0 0 0 0 1
ftc 1 0 0 4 0
514 0 0 2 0 6
ltinet 0 0 0 1 0
ltclg 0 0 0 3 2
52week 1 0 0 2 2
lichtenstein 0 1 0 0 0
amendemnt 0 0 0 1 0
florjanc 0 0 0 0 2
bicc 0 0 0 0 1
ltcompagni 0 0 0 2 0
favor 6 13 2 18 11
singhasaneh 0 0 0 1 0
3749598 1 0 0 0 0
4746 0 0 0 1 0
ltfunc 0 0 0 4 0
unexpectedli 1 0 1 0 1
171000 0 0 0 0 1
unab 0 0 1 0 0
3860 0 0 0 0 1
hannabarbara 0 0 0 1 0
2171011 0 0 0 0 1
29mar1987 1 0 0 0 0
free 13 18 5 10 10
